Year,Units Sold,Revenue ($),Market Share (%),Regional 5G Coverage (%),5G Subscribers (millions),Avg 5G Speed (Mbps),Preference for 5G (%),Quarter_Q2,Quarter_Q3,Quarter_Q4,Region_Europe,Region_Latin America,Region_Middle East & Africa,Region_North America,5G Capability_Yes,Product Model_Galaxy A32 5G,Product Model_Galaxy A52 5G,Product Model_Galaxy A73 5G,Product Model_Galaxy Note10,Product Model_Galaxy Note20,Product Model_Galaxy S10,Product Model_Galaxy S20,Product Model_Galaxy S21,Product Model_Galaxy S22 5G,Product Model_Galaxy S23 5G,Product Model_Galaxy Z Flip3 5G,Product Model_Galaxy Z Flip5 5G,Product Model_Galaxy Z Fold2 5G,Product Model_Galaxy Z Fold3 5G
2019,26396,4212951.048,1.04,57.36,39.55,293.1,55.87,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2019,25671,7240265.603999999,2.82,85.8,42.58,67.46,37.26,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2019,16573,25608331.51,3.84,47.02,3.78,77.25,84.66,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2019,7177,21984415.83,0.8400000000000001,25.7,23.41,105.27,40.03,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2019,45633,16342437.5,2.36,89.13,44.43,206.17,76.88,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2019,15912,17178326.9,5.41,59.12,12.14,179.15,80.79,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,7231,48639810.19,5.9,52.94,44.36,259.16,77.55,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2019,58711,70175779.07,4.92,79.95,49.7,191.42,74.83,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2019,40641,51959555.76,2.64,44.77,31.27,151.18,66.50999999999999,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019,38119,49899540.8,6.84,51.21,38.33,284.33,87.01,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2019,36255,12091673.94,4.66,56.5,9.77,81.43,85.88,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2019,19643,36029498.52,5.67,76.62,22.84,220.82,88.16,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2019,12612,57161551.82,3.24,64.47999999999999,14.98,161.49,85.67,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,22722,45310946.808000006,2.88,87.12,19.04,233.87,45.66,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2019,8453,46937282.29,3.48,72.72999999999999,23.32,130.87,53.81,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2019,19160,6660064.8,1.56,67.69,14.6,156.93,64.04,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2019,38253,53195937.003000006,3.84,76.73,31.96,273.85,38.28,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2019,17404,14950208.85,2.51,38.86,36.38,105.21,67.78,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2019,27841,9787426.515,3.96,75.22,46.41,283.25,44.96,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2019,10047,10691516.9,1.56,45.75,15.36,112.81,85.33,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2019,25054,40495943.74,4.640000000000001,67.39,21.03,212.78,63.69,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,37263,29763310.31,2.76,55.56,16.03,263.32,64.63,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2019,39191,19631909.34,3.35,100.0,49.18,59.84,53.2,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2019,11320,36678245.92,5.99,50.12,43.18,251.51,88.81,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019,31105,12818738.02,4.77,93.04,20.52,110.55,73.07,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2019,24185,52192972.55,2.95,40.55,46.73,200.47,83.06,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2019,8422,11292488.05,6.0,55.76,30.55,170.31,78.44,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2019,56397,18390883.85,6.11,70.96000000000001,23.8,167.75,55.21,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,36613,63070767.79,3.25,83.96,13.22,280.73,75.51,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
